Africa,Asia,Europe,North America,South America,Oceania
5.8879999999999999,7.1390000000000002,7.7690000000000001,7.2779999999999996,6.444,7.3070000000000004
5.5250000000000004,6.8250000000000002,7.5999999999999996,7.1669999999999998,6.2999999999999998,7.2279999999999998
5.2649999999999997,6.4459999999999997,7.5540000000000003,6.8920000000000003,6.2930000000000001,7.3070000000000004
5.2110000000000003,6.375,7.4939999999999998,6.5949999999999998,6.1920000000000002,7.2279999999999998
5.2080000000000002,6.3739999999999997,7.4880000000000004,6.4359999999999999,6.125,7.3070000000000004
5.0439999999999996,6.2619999999999996,7.4800000000000004,6.3209999999999997,6.0860000000000003,7.2279999999999998
4.9960000000000004,6.1989999999999998,7.343,6.2530000000000001,6.0279999999999996,7.3070000000000004
4.944,6.1740000000000004,7.2460000000000004,6.1050000000000004,5.7789999999999999,7.2279999999999998
4.883,6.0209999999999999,7.0899999999999999,5.8899999999999997,5.7430000000000003,7.3070000000000004
4.8120000000000003,6.008,7.0540000000000003,5.8600000000000003,5.6970000000000001,7.2279999999999998
4.7990000000000004,5.8949999999999996,7.0209999999999999,5.4249999999999998,4.7069999999999999,7.3070000000000004
4.7220000000000004,5.8860000000000001,6.9850000000000003,3.597,6.444,7.2279999999999998
4.681,5.8090000000000002,6.923,7.2779999999999996,6.2999999999999998,7.3070000000000004
4.6680000000000001,5.6529999999999996,6.8520000000000003,7.1669999999999998,6.2930000000000001,7.2279999999999998
4.6390000000000002,5.6310000000000002,6.726,6.8920000000000003,6.1920000000000002,7.3070000000000004
4.6280000000000001,5.4669999999999996,6.5919999999999996,6.5949999999999998,6.125,7.2279999999999998
4.5869999999999997,5.4299999999999997,6.3540000000000001,6.4359999999999999,6.0860000000000003,7.3070000000000004
4.5339999999999998,5.3730000000000002,6.2229999999999999,6.3209999999999997,6.0279999999999996,7.2279999999999998
4.516,5.3390000000000004,6.1980000000000004,6.2530000000000001,5.7789999999999999,7.3070000000000004
4.5090000000000003,5.2850000000000001,6.1820000000000004,6.1050000000000004,5.7430000000000003,7.2279999999999998
4.4900000000000002,5.2610000000000001,6.149,5.8899999999999997,5.6970000000000001,7.3070000000000004
4.4660000000000002,5.2469999999999999,6.1180000000000003,5.8600000000000003,4.7069999999999999,7.2279999999999998
4.4610000000000003,5.2080000000000002,6.0999999999999996,5.4249999999999998,6.444,7.3070000000000004
4.4180000000000001,5.1970000000000001,6.0700000000000003,3.597,6.2999999999999998,7.2279999999999998
4.3899999999999997,5.1920000000000002,6.0460000000000003,7.2779999999999996,6.2930000000000001,7.3070000000000004
4.3739999999999997,5.1909999999999998,5.9400000000000004,7.1669999999999998,6.1920000000000002,7.2279999999999998
4.3499999999999996,5.1749999999999998,5.8929999999999998,6.8920000000000003,6.125,7.3070000000000004
4.2859999999999996,5.0819999999999999,5.758,6.5949999999999998,6.0860000000000003,7.2279999999999998
4.2119999999999997,4.9130000000000003,5.718,6.4359999999999999,6.0279999999999996,7.3070000000000004
4.1890000000000001,4.9059999999999997,5.6929999999999996,6.3209999999999997,5.7789999999999999,7.2279999999999998
4.1660000000000004,4.7960000000000003,5.6479999999999997,6.2530000000000001,5.7430000000000003,7.3070000000000004
4.1070000000000002,4.7000000000000002,5.6029999999999998,6.1050000000000004,5.6970000000000001,7.2279999999999998
4.085,4.6959999999999997,5.5289999999999999,5.8899999999999997,4.7069999999999999,7.3070000000000004
3.9750000000000001,4.5590000000000002,5.5229999999999997,5.8600000000000003,6.444,7.2279999999999998
3.9729999999999999,4.548,5.4320000000000004,5.4249999999999998,6.2999999999999998,7.3070000000000004
3.9329999999999998,4.5190000000000001,5.3860000000000001,3.597,6.2930000000000001,7.2279999999999998
3.802,4.4560000000000004,5.3230000000000004,6.1515829999999996,6.1920000000000002,7.3070000000000004
3.7749999999999999,4.4370000000000003,5.2869999999999999,6.1515829999999996,6.125,7.2279999999999998
3.6629999999999998,4.3659999999999997,5.274,6.1515829999999996,6.0860000000000003,7.3070000000000004
3.488,4.3600000000000003,5.0110000000000001,6.1515829999999996,6.0279999999999996,7.2279999999999998
3.4100000000000001,4.0149999999999997,4.7190000000000003,6.1515829999999996,5.7789999999999999,7.3070000000000004
3.3340000000000001,3.4620000000000002,4.3319999999999999,6.1515829999999996,5.7430000000000003,7.2279999999999998
3.2309999999999999,3.3799999999999999,6.2553809999999999,6.1515829999999996,5.6970000000000001,7.3070000000000004
3.0830000000000002,3.2029999999999998,6.2553809999999999,6.1515829999999996,4.7069999999999999,7.2279999999999998
2.8530000000000002,5.2377269999999996,6.2553809999999999,6.1515829999999996,5.944909,7.2675000000000001
